year,month,total_sales_units,nev_sales_units,nev_share_pct
2020,1,1614000,41700,2.6
2020,4,2070000,47700,2.3
2020,7,2112000,98200,4.6
2020,10,2573000,144800,5.6
2020,12,2831000,225100,8.0
2021,3,2526000,188700,7.5
2021,6,2015000,237000,11.8
2021,9,2067000,356400,17.2
2021,12,2782000,499100,17.9
2022,3,2241000,484000,21.6
2022,6,2502000,596000,23.8
2022,9,2610000,708000,27.1
2022,12,2556000,792000,31.0
2023,3,2445000,651000,26.6
2023,6,2623000,758000,28.9
2023,9,2858000,905000,31.7
2023,12,3005000,1124000,37.4
2024,3,2694000,882000,32.7
2024,6,2610000,1048000,40.2
2024,9,2809000,1287000,45.8
2024,12,3337000,1595000,47.8
